0.00,31.45
1.00,33.05
2.00,34.65
3.00,36.25
4.00,37.85
5.00,39.45
6.00,41.05
7.00,42.65
8.00,44.25
9.00,45.85
10.00,47.45
11.00,49.05
12.00,50.65
13.00,52.25
14.00,53.85
15.00,55.45
16.00,57.05
17.00,58.65
18.00,60.25
19.00,61.85
20.00,63.45
21.00,65.05
22.00,66.65
23.00,68.25
24.00,69.85
25.00,71.45
26.00,73.05
27.00,74.65
28.00,76.25
29.00,77.85
30.00,79.45
31.00,81.05
32.00,82.65
33.00,84.25
34.00,85.85
35.00,87.45
36.00,89.05
37.00,90.65
38.00,92.25
39.00,93.85
40.00,95.45
41.00,97.05
42.00,98.65
43.00,100.25
44.00,101.85
45.00,103.45
46.00,105.05
47.00,106.65
48.00,108.25
49.00,109.85
50.00,111.45
51.00,113.05
52.00,114.65
53.00,116.25
54.00,117.85
55.00,119.45
56.00,121.05
57.00,122.65
58.00,124.25
59.00,125.85
60.00,127.45
61.00,129.05
62.00,130.65
63.00,132.25
64.00,133.85
65.00,135.45
66.00,137.05
67.00,138.65
68.00,140.25
69.00,141.85
70.00,143.45
71.00,145.05
72.00,146.65
73.00,148.25
74.00,149.85
75.00,151.45
76.00,153.05
77.00,154.65
78.00,156.25
79.00,157.85
80.00,159.45
81.00,161.05
82.00,162.65
83.00,164.25
84.00,165.85
85.00,167.45
86.00,169.05
87.00,170.65
88.00,172.25
89.00,173.85
90.00,175.45
91.00,177.05
92.00,178.65
93.00,180.25
94.00,181.85
95.00,183.45
96.00,185.05
97.00,186.65
98.00,188.25
99.00,189.85
