0,31.14
1,32.44
2,33.74
3,35.04
4,36.34
5,37.64
6,38.94
7,40.24
8,41.54
9,42.84
10,44.14
11,45.44
12,46.74
13,48.04
14,49.34
15,50.64
16,51.94
17,53.24
18,54.54
19,55.84
20,57.14
21,58.44
22,59.74
23,61.04
24,62.34
25,63.64
26,64.94
27,66.24
28,67.54
29,68.84
30,70.14
31,71.44
32,72.74
33,74.04
34,75.34
35,76.64
36,77.94
37,79.24
38,80.54
39,81.84
40,83.14
41,84.44
42,85.74
43,87.04
44,88.34
45,89.64
46,90.94
47,92.24
48,93.54
49,94.84
50,96.14
51,97.44
52,98.74
53,100.04
54,101.34
55,102.64
56,103.94
57,105.24
58,106.54
59,107.84
60,109.14
61,110.44
62,111.74
63,113.04
64,114.34
65,115.64
66,116.94
67,118.24
68,119.54
69,120.84
70,122.14
71,123.44
72,124.74
73,126.04
74,127.34
75,128.64
76,129.94
77,131.24
78,132.54
79,133.84
80,135.14
81,136.44
82,137.74
83,139.04
84,140.34
85,141.64
86,142.94
87,144.24
88,145.54
89,146.84
90,148.14
91,149.44
92,150.74
93,152.04
94,153.34
95,154.64
96,155.94
97,157.24
98,158.54
99,159.84
