0.00,31.10
1.00,32.20
2.00,33.30
3.00,34.40
4.00,35.50
5.00,36.60
6.00,37.70
7.00,38.80
8.00,39.90
9.00,41.00
10.00,42.10
11.00,43.20
12.00,44.30
13.00,45.40
14.00,46.50
15.00,47.60
16.00,48.70
17.00,49.80
18.00,50.90
19.00,52.00
20.00,53.10
21.00,54.20
22.00,55.30
23.00,56.40
24.00,57.50
25.00,58.60
26.00,59.70
27.00,60.80
28.00,61.90
29.00,63.00
30.00,64.10
31.00,65.20
32.00,66.30
33.00,67.40
34.00,68.50
35.00,69.60
36.00,70.70
37.00,71.80
38.00,72.90
39.00,74.00
40.00,75.10
41.00,76.20
42.00,77.30
43.00,78.40
44.00,79.50
45.00,80.60
46.00,81.70
47.00,82.80
48.00,83.90
49.00,85.00
50.00,86.10
51.00,87.20
52.00,88.30
53.00,89.40
54.00,90.50
55.00,91.60
56.00,92.70
57.00,93.80
58.00,94.90
59.00,96.00
60.00,97.10
61.00,98.20
62.00,99.30
63.00,100.40
64.00,101.50
65.00,102.60
66.00,103.70
67.00,104.80
68.00,105.90
69.00,107.00
70.00,108.10
71.00,109.20
72.00,110.30
73.00,111.40
74.00,112.50
75.00,113.60
76.00,114.70
77.00,115.80
78.00,116.90
79.00,118.00
80.00,119.10
81.00,120.20
82.00,121.30
83.00,122.40
84.00,123.50
85.00,124.60
86.00,125.70
87.00,126.80
88.00,127.90
89.00,129.00
90.00,130.10
91.00,131.20
92.00,132.30
93.00,133.40
94.00,134.50
95.00,135.60
96.00,136.70
97.00,137.80
98.00,138.90
99.00,140.00
